PLAYER,TEAM,AGE,GP,G,FREQ,FGM,FGA,FG%,EFG%,2FG FREQ,2FGM,2FGA,2FG%,3FG FREQ,3PM,3PA,3P%
Robin Lopez,CHI,29,55,26,6.40%,10,36,27.8,29.2,6.00%,9,34,26.5,0.40%,1,2,50
Rodney Hood,CLE,25,40,39,38.70%,86,212,40.6,48.6,22.80%,52,125,41.6,15.90%,34,87,39.1
Ron Baker,NYK,24,28,8,18.90%,3,10,30,40,5.70%,1,3,33.3,13.20%,2,7,28.6
Rondae Hollis-Jefferson,BKN,23,44,43,23.30%,49,103,47.6,47.6,23.10%,49,102,48,0.20%,0,1,0
Royce O'Neale,UTA,24,43,23,23.20%,13,35,37.1,47.1,9.90%,6,15,40,13.20%,7,20,35
Rudy Gay,SAS,31,34,31,33.20%,48,97,49.5,52.6,28.80%,42,84,50,4.50%,6,13,46.2
Russell Westbrook,OKC,29,53,52,51.40%,200,556,36,40.4,35.70%,151,386,39.1,15.70%,49,170,28.8
Ryan Anderson,HOU,29,53,38,17.30%,31,69,44.9,49.3,11.80%,25,47,53.2,5.50%,6,22,27.3
Ryan Arcidiacono,CHI,23,11,1,9.10%,0,1,0,0,0.00%,0,0,-,9.10%,0,1,0
Salah Mejri,DAL,31,51,2,1.90%,0,2,0,0,0.00%,0,0,-,1.90%,0,2,0
Sam Dekker,LAC,23,49,14,8.60%,4,16,25,31.3,4.80%,2,9,22.2,3.70%,2,7,28.6
Sean Kilpatrick,MIL,28,34,19,30.30%,11,44,25,29.5,14.50%,7,21,33.3,15.90%,4,23,17.4
Semi Ojeleye,BOS,23,48,8,6.60%,5,8,62.5,75,4.10%,3,5,60,2.50%,2,3,66.7
Serge Ibaka,TOR,28,50,43,16.40%,41,82,50,51.2,14.20%,39,71,54.9,2.20%,2,11,18.2
Shabazz Muhammad,MIN,25,31,8,8.50%,1,9,11.1,11.1,6.60%,1,7,14.3,1.90%,0,2,0
Shabazz Napier,POR,26,50,44,49.40%,69,163,42.3,47.5,32.70%,52,108,48.1,16.70%,17,55,30.9
Shane Larkin,BOS,25,34,24,45.00%,12,49,24.5,25.5,33.00%,11,36,30.6,11.90%,1,13,7.7
Shaun Livingston,GSW,32,48,44,58.00%,51,123,41.5,41.5,57.10%,51,121,42.1,0.90%,0,2,0
Shelvin Mack,ORL,27,42,30,29.90%,18,53,34,38.7,19.20%,13,34,38.2,10.70%,5,19,26.3
